CUSTOMER COMMENT,Reason
"Margin TradingFor lesser interest rate, offer subscribed and money debited,but higher interest rate charging from subscribed date to till date.No yet responded.What ever reason you like to say, Give me in writing, on your kotak securities letter head.",CHARGES(BRO./DP/LPC ETC.)
Frequent App issues to be resolved,APPLICATION (WEB/APP)
Not receive,Others
service levels provided are absolutely not acceptable.. things take forever to respond/resolve,Service
"No,.............",Others
Worst service,Service
Not good,Not Specified
If on your request the investor agrees for switching from old Keatpro Platform to new Kotak neo fast platform the problem of investor should be understood and resolved quickly instead of depriving him of his right to do the trading/investments.Even after telephonic withdrawal of my request the old keat pro platform is not yet made available to me rendering me unable to do trading/investments in sharemarket yesterday and today.It would amount to kicking me out of Kotak Security and start with any other efficient broker.,APPLICATION (WEB/APP)
Dont call me again....... Ur app so useless./.........,APPLICATION (WEB/APP)
Now I am tired of writing suggestions and feedbacks as you nothing get out of it,Others
kindly change my deler himani( contact number -8835386135) because her behaviour was not good on call.,People
Stone aged software in jet age,APPLICATION (WEB/APP)
Not good,Not Specified
Shut your company and buy shares of HDFC Bank u will be more profitable or fire all your employees,Service
Should provide incentive to dealers so that they themself indulged to resolve the issue of the Customer or connect to customer....,Service
Many times feedback provided but it seems that u don’t have enough infrastructure to serve ur customers.🙏,Others
For financial statements ZBSFO NOT SENDING  NOT REPLY,Process
No service,Service
Very poor management and least concerned for their customers.  Fucking management and asshole managers running this reputed company,Others
No,Others
Employees are not bothered about customers at all.,Service
Brokerage should be matchong to other competitive dealers if there is regular buying and selling takes place,CHARGES(BRO./DP/LPC ETC.)
My acct. Was suspended since last 2/3 months without any prior information dealer has not facilitated long time even reminders to arises the solution but he did not co operate to resolved for activation trades.Regard,Service
No thanks,Not Specified
Hopeless broker response. Not friendly to retailers at all.,Others
Neither dealer nor customer care solve my problem. DEALER NOT RESPONDING MY CALL,Service
"I have written to your service desk stating my complaints and that I have an allocated team but no one has called me however, the response I got is they need more information to address the query regarding putting me in touch with dealer (it’s all on emails)",Service
Improve customer care,Service
Poor response. High charges.,CHARGES(BRO./DP/LPC ETC.)
Who is dealer dealer should contact client on weekly base for any query related to client any problem facing....,Service
Very bad.,Not Specified
prompt and healthy guide line should be preferred which is neither achieved by your team members nor by my relationship manager.,APPLICATION (WEB/APP)
Take too much time even more than 10 minutes to pick the call and then irriataing question to answer.,Service
Stop looting traders,APPLICATION (WEB/APP)
"Iam trading with kotak seq last 6 years with 50 Lks to 1CR daily turnover, but no proper feedback or knowledge on operation of app and no dealer interaction with me. Whenever any clarifications with whome I have to contact God only knows",Service
Pls  decrease your brokerage rate,CHARGES(BRO./DP/LPC ETC.)
Your dealer advice make my too much lose and you are not giving good advice to recover my money,Service
I transferred Rs 50k on 27 May  online but fund transfer not updated so unable to transact. My bank account debuted and  I I have also forwarded bank account statement showing transaction as well as SMS received from SBI to confirm transaction,Service
App is working not properly that’s why I m loosing my money,APPLICATION (WEB/APP)
Improve mobile app,APPLICATION (WEB/APP)
Everybody is busy are the for clients ?. Even after calling 20 times only recorded message is played which erritates and could not connect even to RM?,Service
No but only issue had money 💰 transferred,Others
No response on the query,Service
Pls close your entire customer service and call and trade team ...You can save a lot of money...it is waste of money.,Service
can you call  and settle my issues im  trying to get it resolved for past 1 months every one is pushing from his desk,Service
No clarity while asking about clarification and also called many times to customer care for the dealer to contact me . Always tell will call u back for the resolution.And i have to for many days and days .Then i only call Its not at all fair because its hard earned money invested in an reputed broker like kotak but dealer response is tooo tooo pooor.just resolve it immediately .Otherwise your good will fully vanish due to this.,Service
The contact information provided is not completely acturate,Service
Too much charges,CHARGES(BRO./DP/LPC ETC.)
Interaction with Kotak securities was good. She did explain the solution to the problem. Even after doing suggested thing my spouses account neither reactivated nor I received the CML for self as well as my spouse. I am highly dejected.,Process
referal bonus of 2 acc opened 500 each credit not given .even after mailed to escation team n they admitted. but more than month gone credit not given to us  ut shakes oyr confidence.. app becoming laggy.dyring mkt opening frst hour. Rm keeps changing v fast.n do take initiative to solve querry,APPLICATION (WEB/APP)
system speed is slow,APPLICATION (WEB/APP)
"Definitely good to suggest and also suggested to 2-friends., need to change the call time when called, sometimes it is too long to get some persons on line.",Service
I hCe no issues with my RM. Except that on several occasions i have requested him to provide me assistance with learning how to trade in bank nifty. This is still awaited.,Service
Becoming mechanical in complain resolution.,Others
"Staff should be active, sincere, intelligent for customers.",Service
"Not very happy with response if there are issues. As long as there are no issues, can survive.",APPLICATION (WEB/APP)
"Very satisfied with employees whom I spoke on a call very dissatisfied with email exchanges done from your backend. They knew nothing, were arrogant and resolved the issue finally without admission that they may have been wrong earlier",Service
MY MUTUAL FUND HOLDING AVAILABLE IN DP STATEMENT SINCE LAST FOUR YEARS BUT NOT REDEEM ONLINE AS PER RESOLUTION. WHY TO VISIT BRANCH AS THERE IS IN YOUR STOCK.,Product
"The portfolio section in the App is not updated and is showing transactions done more than a year back.. even on 26 th May , the transactions done on the previous day wasn’t updated.. whatever securities sold on that day has been kept us POA shortage and they will auction and penalise us.. this has been going on repeatedly.. now it has come to a situation where I have decided to migrate to other platforms after squaring up all transactions",APPLICATION (WEB/APP)
App is running slow,APPLICATION (WEB/APP)
Too much charges with zero information,CHARGES(BRO./DP/LPC ETC.)
Disappointed,Not Specified
Nothing,Others
A lot need to be done to retain clients. will shift to another broker at first available opportunity,Service
"This is my message sent to Dealersmart / services department regarding my pending query.   WHAT THE HELL IS GOING ON AT KOTAK SECURITIES.  A SMALL QUETY COULD NOT BE RESOLVED INSPITE OF PERPETUAL CORRESPONDENCE AND CONTINUOUS FOLLOW UP.  Does the entire Team at Kotak Securities Sleep all the time without being attended to the Urgent Queries even after lapse of more than 6 days.  How many days further do you need to awake and attend the query for resolution.  Mr Swasthik, Mrs Priyanka, Mrs Udaya have received my query over phone to attend, but no result so far.  Mr Vedant said to be the concern RM., who has not even come in touch till now.  The worst kind of services received from Kotak Securities beyond the imagination.  I dont know the ultimate authority whom I can escalate the issue.   You can check with the concern persons / R.M. I do not know what is happening at Kotak SEcurities.  Very alarming situation. Dhanunjaya Rao PMob.8125666174; 9705219090.",Service
No,Others
Advisors should know more about Kotak products and process,Process
query Resolution is poor.,Service
No equity call recumend by kotak target acived,Service
Don’t call me on my mobile,Others
No service no service,Service
Not like this,Others
Very good .,Not Specified
No concrete update on the request nor any info when it would be resolved and the process to be followed.,Process
your voice trading desk has long waits. last month your website was unavailable for trading several times. your commissions are high compared to the quality of your services. teh quality oof your stock recommendations ar very bad.,Service
App must be detailed about trade,APPLICATION (WEB/APP)
MORE AND HEAVY BROKERAGE CHARGED TO ME AND INSPITE OF MY PTIVY LEAGE OPTIMA ACCOUNT RELATIONSHIP AMC CHARGES LIVED TO MY ACCOUNT. I AM VERY MUCH UNHAPPY WITH KOTAK SECURITIES,CHARGES(BRO./DP/LPC ETC.)
Bad dealar,Service
before calling they should know the customers portfolio and latest investments,Service
No,Others
The customer care service is very poor,Service
Keep the Team working on queries to be awake and attend the financial queries on priority keeping the clients saved from any financial loss.  Heart burning to note that the securities has inefficient team.,Service
Regular basis and permenant person to interact,Service
Mobile app is not up to the mark. It is very slow and old version comparison with another.,APPLICATION (WEB/APP)
A financial quiery raised on 27.5.2022 couldnt be resolved even after lapse of about 10 days. Pathetic situation and mental harassment to the client.  Very Poor and the worst kind of service.,Service
Dealers Never respond Or Call back when requested. Even Mail requests for an emergency Call back fall on DEAF Ears.,Service
Please take customer issues seriously,Service
A long pending issue regarding levying of demat charges by kotak mahindra bank.  They say that this issue may be referred to Kotak Securities and Kotak Securities say that this issue may be resolved by the Kotak Mahindra Bank.  I remained between the two without resolution and for a very long period say about 2 years. I visited the local office of Kotak Securities Ltd. and met Mr. Abhishek atleast 4 times with no result and  This is highly regrettable for such an organisation.  I understand Kotak Bank and Kotak Securities are the sister concerns but there is no coordination and each one is passing the buck.  Kindly improve your complaint redressal system,CHARGES(BRO./DP/LPC ETC.)
I request you to allot VIJAYAWADA local dealer .,Service
Rectification of erroneous demat account no 27150194.,APPLICATION (WEB/APP)
Dealer is very much bad knowledge and not contactable as I call so many time but he seems busy with his creamy or large portfolio client. Specially Mr. Vedant Dealer name. Please change him from my account urgently,Service
Bad experience,Not Specified
Deeds are not upto the words,Others
Maintain timeline in resolving issues. Its difficult to deal with different executives whenever you call. Same problem has to be repeated again and again and explained to each person. Its difficult that too without solution.,Service
Please address the request of the clients without any delay.,Service
The query is pending since last 2 monts.,Service
Need to be more sensible towards the issues raised by customers along with the timely grievances addressal,Service
"If query has raised , Request you to follow up and close the query ASAP . My last query was not solved more than week and after my multiple follow up only it was resolved .",Service
It is sheer wastage of time and energy to continue to have KSL as ones Security Services Provider,Service
"People at kotak do not want business hence I am dealing more with hdfc sec inspite of high cost. People at senior level have no time or say egostic to name Shilpa bachwat, she dont care about service though I have invested in sec more than 1.3 crore including margin and cash and doing intraday transaction of around 25-50 lacs with hdfc sec inspite of 0 brokerage at your end but .01% at hdfc sec, very bad behavior they are spoiling kotak reputation, now I am referring motilal oswal instead I had made earlier to kotak lot to say but useless. It was good in beginning with Shilpa but when she started growing she started ignoring and I think as I know with my personal contact 5 or 6 they say her behavior is very bad for last 6 months or may be overloaded with work and appreciation so might be she is not wrong.",CHARGES(BRO./DP/LPC ETC.)
Be competitive with other brokers in the market in delivery segment,Others
No interaction done,Service
"my grievance is still UNRESOLVED INSPITE OF SOO MANY MAILS & CALLS TO KOTAK SECURITIES.EVEN THE SENIORS AT KOTAK ARE EXPERTS IN PASSING THE BUCK & dont take any responsibility or EXTRA EFFORT to help customers.they just provide this no / that no just like GOVERNMENT STAFF, who try to remain in their COMFORT ZONE only.ALSO your mr SHIVAM LADIA, has an EXTREMELY UNFRIENDLY & arrogant ATTITUDEi have got all my family memebers account at KOTAK SECURITIES, BUT NOWAFTER MY TERRIBLE EXPERIENCE I WILL CLOSE ALL OUR ACCOUNTS WITH KOTAK",Service
RM is not responding same time same day same week even they are totally new appointed they dont have enough information.,Service
Call waiting,Not Specified
Need to improve the app transation and look. Account details looks difficult to understand,APPLICATION (WEB/APP)
Alway gives the reply we will take up the matter with senior never happened,APPLICATION (WEB/APP)
"No response on issues, Try to solve the queries as early as possible",Service
"When we go for Buy/sell mode in Keat pro, it should so show day High / low range, like that in SHCIL trading platform.",Service
"Sorry to say, they are unable to resolve my problem.",Service
They never respond on time at times .,Others
The call wait is more than 200 and after loss the solutuom is rrsolved,Service
BOLD & DARK FONT LETTER NEES,Others
Improve services & direct deals with bank,Service
"For query totally disappointed response and no response on escalation also, research recommendation are random, relationship manager is not consistent",Service
Response time through online help desk to connect RMor dealers should drastically improve to resolve real-time issues,Service
"No problem please update...................,....   ...........................",Others
Company fake call are not only disturbing us but also irritating us and without our knowledgebank has been linked with Kotak Bank actually it is SBI the second time that our accounted link with Kotak Bank and your customer service is poor and and there is no proper guidelines to follow it,Service
"Problem resolution is hopeless . Only false promises and no concrete result . This is so even after many followups and fresh complaint registration . Pl. improve on this URGENTLY .Thanks & regards ,",Service
Pathetic support by Kotak securities,Service
"Overall the experience is good about software but, mtf and funds settlement is not good verry bad. I had a bad experience for same in last 2 months",APPLICATION (WEB/APP)
The staff is full of dumbass,Service
User app needs to be more user friendly,APPLICATION (WEB/APP)
Call remains unanswered.No response to call or queries.,Service
Your accounting department is doing series threatening to cover up their mistake,Service
Service not as before. Earlier  we could speak directly to our broker / agent for anything which could & would be resolved at the same time .Now we have to call and Register complaint then wait for the call or reply via mail that too not satisfactory or useless .,Service
Time should be reduced in resolution.,Service
VERY HIGH RATES BROKERAGE CHARGES FROM KOTAK SECURITIES INSPITE OF MAINTAINING 1 CRORE ABOVE RELATIONSHIP NO VALUE OF CUSTOMER NO AMC CHARGES REVERSAL DONE TILL DATE AND HIGH RATE BROKERAGE CHARGES REVERSAL ALSO PENDING. RESOLVE IMMEDIATELY,CHARGES(BRO./DP/LPC ETC.)
I have asked different question and got response completely different.They are two other directions.,Service
Inadequate subject knowledge & adamant approach of interacting staff.,People
dvdxgdfgfd,Not Specified
Local dealer should be knowledgeable and co-operate with the client.Please improve the dealing.,Service
No     ggghh.....            ...lj.. .......... .  Hgghggbbhbbbbbbb,Others
Please dont advertise about yourself as service providers.,Service
No Thanks,Not Specified
"Without my concern, why SLBM contract is foreclosed? and Rs.1380 is debited to my Trading account, WHY ?????",Service
"Your recommendation accuracy is much better than before.But still I think, improvement is required because of the volatile market.",APPLICATION (WEB/APP)
"Why, without my concern SLBM contract is foreclosed and Rs.1380 is debited to my Trading account?????",Process
"Instead of making web site and customer services portal, it is advised to depute some knowledgeable and polite personnel who could deal with customers problem.  My complaint is still unresolved but from your end it is closed. This is Shameful for your organisation.",Service
"Worse experience of false commitment done by your executive without any proper knowledge, and on that we had done the transactions due to that we are in a bad position now",People
Please improve all system,APPLICATION (WEB/APP)
There is no service. Requests get auto closed without resolution. Garbage.,Service
आर्डर में सही मात्रा नहीं देतेहै,Not Specified
You guys should have some tat for every query and should stick to that. If you are unable to resolve the issue within the tat period then minimum communicate with the customer.,Service
Nil suggestions,Service
if you have given me dedicated RM and dedicated phone no. then he / she should pick up the phone,Service
Worst platform,Service
HIGH BROKERAGE CHARGED TO ME AND AS I AM KOTAK PRIVY OPTIMA RELATIONSHIP CUSTOMER AMC CHARGED LIVED FRON LAST 3 YEARS SO VERY MUCH UNHAPPY WITH HOPLESS SERVICES FROM KOTAK SECURITIES,CHARGES(BRO./DP/LPC ETC.)
Lot of improvement  required,Others
आपकी कंपनी का (यदि सम्भव हो) कोई अनुभवी व जिम्मेदार officer 3.30PM के बाद फोन पर बात करके हमारी शंका व समस्याओं का समाधान चाहते हैं।,Not Specified
No,Others
All scrips must be available for online trading.  If not for buying but must be available for selling including x n z grops.,APPLICATION (WEB/APP)
Customer service is very poor,Service
Discussion on Phone......Call please .....,Service
Proper app is more important for trading. It always ask login OTP again and again.. automatically log our happens and OTP is not coming in time. Login should be easy with pin only.,APPLICATION (WEB/APP)
Very poor credit time policy,Others
Total poor service No customer care application error Every time complaint but not properly supported,Service
Your no response. Very poor service,Service
Rates not updated perfectly.Leger statement is worse to understand. Anda also contact note not matched with letter.Nsee orders  in f&o  units and in currency  lots but u provides both r in lots. First u observe other platform also i u r back in d world.,Service
"No response, already I informed about brokerage charge reduction, but no result, iam also no sound Knowladge of charges, calling for only to pay the shortage amount, no one help to reduce the charges",CHARGES(BRO./DP/LPC ETC.)
Efforts should be made to redress the issues raised by customer expeditiously rather than waiting for the customers raise it again through reminders.,Service
Very good,Not Specified
Unable to resolve my issues,Service
Without informing trading app stopped for of segment activation. It is not easy to activate in kotak bank.  No one is explained correctly how to activate the segment.,APPLICATION (WEB/APP)
Talk to us in Odia languages as I am in the state of odisha.,People
Bring brokerage down,CHARGES(BRO./DP/LPC ETC.)
If mistake from your side than you have to refund trade amount otherwise you will be failed,APPLICATION (WEB/APP)
Use less service. I am having all the family members and my relatives which almost more than one crore relationship with Kotak securities.I will close all the relationship.,Service
Please redress the issue raised.,Service
No solution on my funds request yet. Multiple times facing issue while using app.,APPLICATION (WEB/APP)
Improve your web app - it is not good. App is much better.,APPLICATION (WEB/APP)
I havent done foreclosure of SLBM even though my Trading account is debited with Rs.1380 on 01.06.2022. The Supervisor of the unit at Ahmedabad trying to convince me that this is done by the Company. They are misguiding the clients.,Process
no One cares to help in need and send routine replies with out resolving the real issue. Lot of problems in app And technical issues a daily problem.,APPLICATION (WEB/APP)
"There is no onewho can guide on my investment amount and no one has vision by which I can earn in market, you guys have complete team and then also customers are not benefited",APPLICATION (WEB/APP)
Dealer has Very poor knowledge.,Service
Kotak new App - it is very good - but frequently the Platform is changed confusing - frequently old system/methods/ - eg trade done / orders balance etc - changing vertically from horizontal - we have to waste our time going up and down etc,APPLICATION (WEB/APP)
"Gentlemen has patience to listen,Solution requires understanding first.",Service
brokerage and Trading charges are highApp and website sometimes are not working properly,CHARGES(BRO./DP/LPC ETC.)
Generally very less interaction,Service
🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 👋 🙏 ⁸,Not Specified
Worthless to provide any suggestion,Others
I requested 10 ten times to Renew my SMS  Alerts - but no response,Service
Dealer doen not help us and does not take our calls,Service
Bakwaas,Not Specified
"All your relationship managers, whatsapp, call all chat with expert sources, emails do not respond for weeks and months",Service
My problem of not delivering of buy & sell MSG has not been resolved.pls fix it otherwise I will quit.,APPLICATION (WEB/APP)
Brokerage is very high. D p charges r also high,CHARGES(BRO./DP/LPC ETC.)
Kotak securities is my big mistake,Others
No option available in the app to generate reports like1. Holding under Normal trade2. Holding under Margin Trading3. Holding as on a particular date4. Balances as on a particular date5. Details of the brokerage paid as on a particular date etc,CHARGES(BRO./DP/LPC ETC.)
My dp mobile number change is due for 10 years,Process
Dear Sirs We have a pending issue. We wanted to include a nomination as well as carry out change of correspondence address. There is no hope at the end of the dark tunnel as these issues are still pending !!!,Service
Very bad experience.not happy.,Service
Improve appCharts not properly openLake of script analysis So improv the app,APPLICATION (WEB/APP)
Request to reduce roi. Only allow margin trading and rate of interestbe conveyed.T S BEGIT01NO9653076262Tsnegi1956.tn@gmail.com,CHARGES(BRO./DP/LPC ETC.)
Wrong direction,Others
I will close my account very soon. No suggestion,Others
I cant book intrday shares please help,Process
Listen to customer care problems. Make it easier to connect customer care person with clients.,Service
"THE PRESENT R.M. MS. RITA IS EXCEPTIONALLY GOOD, INTELEGENT AND SUPPORTIVE",Service
POOR SERVICE,Service
Very poor response from the RM,Service
Include daily cash available statements which tells me opening balance of cash available and closing balance of cash available on daily basis with details of brokerage and STT and all other charges.,CHARGES(BRO./DP/LPC ETC.)
It new portal may be a good one but it not at all use friendly. Ur RM is very slow. They require training. Further recheck with me on my mobile.,Service
"E mail Customer service should be improved. Need reply with out delay, also give proper answer against my enquiry Chat system is completely useless. They never give proper answer against my questions",Service
Change employee,Service
"Horrible interactions. Your employees need training and need to keep their voice down. Honestly, K Sec is not doing any favours to me and nor are the employees.",Service
They dont what exactly I have in my portfolio and he called me once in through out after my trading account opened in kotak mahindra. They just for feedback,Service
Problem is pending since last 2.5 Months,Service
There should be transparency o the charges,CHARGES(BRO./DP/LPC ETC.)
Brokerage and other charges on very higher side keeping in view my transaniction.,CHARGES(BRO./DP/LPC ETC.)
No,Others
I do not get confidence to start transacting on your platform.,Service
I trying since six months about trading terminal knowledge but no any response,People
You dont listen. It is a waste of time advising you.,Service
App is not working fine,APPLICATION (WEB/APP)
Ur new app Kotak fast trade is not working. Approached RM Ms Sahni. Response was very poor. Asked her to take me on remote via teal viewer/any desk or taat track. She could not make the arrangement rather insisted me to tel her my problem on phone. I’d the problem were solvable on phone I may not have insisted for remote contact. Contacted Sohil khan who too could not do amything and I am still facing th problem in ur new app. Pl do the needful.,APPLICATION (WEB/APP)
Advisor should interact on alternate days.,Service
"close the business, you are not upto client service",Service
"I have to wait 20 minutes for getting connected. After 10 minutes discussion, call was transferred to another person.30 minutes wait is too bad.",Service
Problem Pending since last 2.5 Months,Service
Trading app frequently disrupts during last 15 minutes of trade & especially on all expiry days. In between trading hours it doesnt work smoothly many times.,APPLICATION (WEB/APP)
Try to solve my problem immediately.,Service
customer care worst,Service
No,Others
nil,Others
Kotak Securities platform substandard not a professional setup. Kotak name is a disguising one. Novice sharemarket team. SADZERODHA MOSL ask your team spend time going through their site. Platform creation no comments! As a customer never reccomend kotak Securities period!,Service
Not proper response,Service
Ur executive does not understand how to talk to ur customer.,Service
Pledgestockpy.trading give good but 5workingdays given not happen .moremonthsgive good,Process
"Correct margin should be displayed at the time of putting buy / sell order. Wrongly debited penalty amount for margin shortfall not refunded yet, in spite of requests. Needful may be done for refund.",CHARGES(BRO./DP/LPC ETC.)
My query was not redressed by Kotak.I requested number of times to change dealer and attach a Telugu speaking person from your Vijayawada branch.It is still pending. Reason is unknown.It is very bad on your end.,Service
There is no point in assigning an RM if he doesnt have the time and inclination to take interest and resolve your problems.,Service
You are requested to text message dailytrading positions and ledger balances as before. That will ease the follow up and smooth trading.,Process
Simply bad experience,Not Specified
"Please continue text message to check trades executed details as every time, cant check positions or trades details",APPLICATION (WEB/APP)
Good luck,Not Specified
Process should be easy to update bank account number in DP profile. My canara bank account number in DP profile needs to be updated as 0347101055890 instead of 347101055890.,Process
Fast resolution of the clients complaint related query and satisfaction of its complaint to the client while properly interacting with the client,Service
Stopping of trade SMS is unprofessional.,APPLICATION (WEB/APP)
No,Others
Your customer care is useless. It does not reply specific query. It reply mechanically/cut paste without understanding the query. Further query escalation to escalation and compliance teams are fruitless. These teams seem to be non-existing. Forwarding to them leads to reply by customer care only. Moreover ledger is complex and non understable. Pl see ledgerr of HDFC or sharekhan which are simple. Improve yourself.,Service
Need to improve the customer complaint redressal process.,Process
My query to change Dealer is long pending one.Please attach a Dealer from Vijayawada as I have been requesting long long ago.,Service
Not Happy with App as well as Kotak Securities servicesTeam leaders not caring about customers,Service
What is the point?,Others
I need daily report,Others
"very bad customer care and support,not sensitive for customers difficulties.",Service
The so-called relationship manager is not available on phone.,Service
They are not at all interested in solving the concerns of their customers Please arrange a callback from senior management at the earliest on my registered mobile number 09990700304,Service
"If kotak securities allow to purchase shares on outstanding fund, it should not liquidate stocks as and when it feels at its discretion.",APPLICATION (WEB/APP)
No feedback. Call me to discuss.,Service
"worst service ever faced , paid 40000/- on 25-4-2022 but your team no payment was received and when complained to RBI next day fund settled on 4-july",Service
I complaint from last 10 days that my account is inactive. Plz active my account. But no one can do it,Service
"delivery brokerage should reduce andlast month or before,, your offer for MTF interest of 7.75%cureently  you are charging me 8.49% .. then why you have not charge me7.75% , if offer was there?At present Ms. Kajal Singh new Dealer or RM is good , responsing very quicklyand explaining also. After almost 11 months I got good staffplease dont change...",CHARGES(BRO./DP/LPC ETC.)
Regular interaction,Service
trade api queries is time taken i think it cannot resolve easily.i am facing problem from last two days but the problem is same still this time,APPLICATION (WEB/APP)
Today i called your customer care executive to discuss the below three issues.1. Stopping of hard copy of Transaction cum bill statement by post.2.Requirement of Financial statements for the FY 2021-2022.3. Short credit of SBI dividend.   While discussing with the short credit of SBI dividend the concerned person disconnected the call without giving the resolution.I guess the concerned oerson is not having sufficient knowledge of the subject. Not Happy,People
No one connected to hear the query,Service
Today i called your customer care executive to discuss the below three issues.1. Stopping of hard copy of Transaction cum bill statement by post.2. Requirement of Financial statements for the FY 2021-2022.3. Short credit of SBI dividend.   While discussing with the short credit of SBI dividend the concerned person disconnected the call without giving the resolution.I guess the concerned oerson is not having sufficient knowledge of the subject. Not Happy,People
No any more.,Others
"It is quite unfortunate that you are taking your customers for granted. Pl see my account. On an average every month you are charging around Rs.1,750/- as demat account maintenance on my holdings. Is it wrong to hold more value in Kotak Securities account?",APPLICATION (WEB/APP)
Kotak discontinued SMS Alerts to clientsKotak should be Helpful to  clientsI am slowly discontinuing Trading with Kotak and close my Demat Account?????No more requests- No more query redress??,Service
RM and online customer are waste .i advice kotak not to waste time and money there.My problem was solved by local kotak dealer. All big ks.social are giving dealing. Atlast it was kotak  securities payment gate way failure,Service
"Wonder how an outfit under Uday Kotak, can have such poor Customer Service standards. Service Desk doesnt respond at all and even escalation didnt work. Thoroughly disappointed",Service
Worse ever services and unnecessary charges every time. Kindly do not fool the clients who give you business,Service
No,Others
They dont have the proper informationResources are not updates,Service
I am fully satisfied with kotak securitys employee Mr. Nishant Mehta he pick up the call any time and try to resolve the problem of us and also try to convenes regarding the problem which we had face at that time and always positive attitude. so i want to say thank you so much.,Service
My query of CPCL in my portfolio still outstanding unresolved. Despite various calls to phone banking and to dealer no resolution yet. Pls assist,Service
Worst agency.  Kotak security is  just seem to see to their personal interest,Others
"Dealer only tries to get things about her interest,she didnt get back to me for the query I made. Also called twice few days back but no response neither she called back.",Service
No,Others
Good,Not Specified
Trade SMS service discontinue is the most unprofessional.You are sending unwanted recommendations by SMS anyways.,Service
"It has not been a good experience and inspite of cold response, I have continued with Kotak securities. If this feedback any value, I would expect a better treatment in future.Although, Mr.Shivam (mobile 8929787283) was not designated my official relationship manager, he has always been very helpful. When ever I sought help, he was available and gave substantive advice.",People
We are having four 3 in 1 account which was transferred to Borivali branch but recently I came to know that our RM Hardik Waghani is left and our accounts has been transferred to other branch without our consent.. this is ridiculous and very unprofessional way to do so without handover of transfer to a branch which we donot want. as we want our accounts at nearest branch only.. if you can’t we will transfer all our accounts to other brokers and close accounts with Kotak.Looking forward to hear from you soon.Thank you Ashish Gosalia,Service
Everything  is fine,Others
Don’t have any knowledge,People
"Im absolutely surprised that an outfit run by Uday, has such poor standards of Customer Service. The Service Desk is disfunctional, sorry to say and at all levels, delays and dogmas galore. Disappointing!!",Service
No helpfull employees,Service
Good,Not Specified
Useless customer service. See my all emails on referral bonus first sent last year and then call me.,Service
high charges. confusable statements,CHARGES(BRO./DP/LPC ETC.)
"Lack of awareness of the platform, sensitivity towards issueBookish answer provided frustrating",Service
My Trading account is debited by Rs.1380 with remark foreclosure of SLBM of INDIAMART without my concern. After my request Rs.221 is refunded instead of Rs.1380. Please refund my Rs.1380.,Service
Pl listen to suggestions and respond,Service
Nil,Others
"Concerned Kotak Securities employees are not available for real time help during on trading time technical difficulties, needs drastic improvements to be user friendly and helpful",APPLICATION (WEB/APP)
Allover good but mobile not work properly,APPLICATION (WEB/APP)
Whatsapp chat.. entirely useless... Call should be arranged to understand and solve clients query.Secondly margin amount shows up against fund is misguiding and someone will notify it to SEBI.. as its not clients own fund.. thus impacts investment decisions... Investment decisions cant be taken on Margin amount.,APPLICATION (WEB/APP)
Despite requesting so many times 49 paise brokerage being charged for delivery against 30 paise. Not getting statements by mail. Statements should be downloadable,CHARGES(BRO./DP/LPC ETC.)
thanks,Not Specified
close the business as you are not upto the market service criteria not even near by it,Service
Poorly system manuplatting to the cutomers,APPLICATION (WEB/APP)
Team at bank not helpful. Taking much time as expected always,Service
Poor response to the customer queries,Service
"When your App and portal are defective, what can employees do?",APPLICATION (WEB/APP)
its pathetic,Others
No,Others
Did not care about customer problem not reverted back on query,Service
They r not helpful at all,Others
Scammer you are i have send all details to sebi,Others
Increase ur stock coverage in mid and small cap,APPLICATION (WEB/APP)
"Please understand customer is your base to do your business.Distancing the customer will not help your business to sustain in the competitive market....,..............................................",Service
The person I spoke to did not understand the query. She kept on providing me with the information that I didnt require. The issue isnt resolved yet and I have spent more than 2 hours in total in call with the executives. After every 2 minutes of conversation they put me on hold for 4-5 mins,Service
There is no proper training from dealer to provide to the new comers. And the charges clarity is not provided by agents and stop loss is not working at all in intraday and delivery modes. Many times I was stuck with the option of stoploss. Could not continue with trading.,Service
Even after my query dealer not responded me which is very disappointing again,Service
Sorry to say that not yet all happy with Kotak Securities services and charges. That is the reason we have moved to Zerodha and very happy with services and charges. Hence moving all our family demat and trading accounts accordingly. Thank you for KS services as on today.,Service
Sorry for kotak services,Service
Incorrect digitally  contract note on 14 and 15 for intranasal & delivery. Normal and MTF .,Service
"My Trading account is debited by Rs.1380 on 01.06.2022, without my concern. On request Rs.221 is refunded, but what about the rest of amount. The reason is foreclosure of SLBM of INDIAMART. I havent request for any foreclosure. As per SEBIS guidelines no company do any foreclosure after contract of SLBM. Officials of Ahmedabad Office giving the reason that Company has done the foreclosure. This is their false statement. Please refund the rest of amount. This is my fourth request, if you are not going to refund, the matter will be referred with SEBI.      With regards,  Prabhudas.",Process
Not being able to activate my FnO via KST for the last 6 month. Very bad.,Process
"On my request to refund charges and continue trading on Kotak platform,your attendant committed to refund Rs4600 back in my account within15days which never happened.Say yes or meet commitment.",CHARGES(BRO./DP/LPC ETC.)
No service,Service
